latitude,longitude,internt-bruksareal,solgt-pris,omkostninger,leilighetstype,pris,trygghet,prisantydning,first-seen,web-scraper-order,longitude,antall-soverom,annonse,avstand-trikk,utvidelsesmuligheter,etasje,energiklasse,pris/m2,byggeår,antall-rom,web-scraper-start-url,avstand-tbane,eksternt-bruksareal,energiklasse-farge,heis,adresse,image-url-src,annonse-href,felleskostnader,avstand-buss,bruksareal,fasiliteter,latitude,pin,eieform,solgt
59.937769,10.765256,52.0,,142690.0,Leilighet,5487690.0,Nabolaget oppleves som veldig trygt,5290000.0,2024-03-11 22:12:58,1710188114-16,10.765256,1,Torshov / Lilleborg - LILLEBORG - Flott 2-roms selveier| Balkong | Rolig og populær beliggenhet | Garasjeplass med mulighet for el | Heis,4.0,False,2.0,None,101731.0,2002.0,,https://www.finn.no/realestate/homes/search.html?facilities=1&lat=59.93409994199391&lifecycle=1&lon=10.729864579166076&min_bedrooms=1&ownership_type=3&price_collective_from=3500000&price_collective_to=5500000&property_type=3&radius=3000&sort=PUBLISHED_DESC&stored-id=65343065,16.0,5.0,None,True,"Ivan Bjørndals gate 4, 0472 Oslo",https://images.finncdn.no/dynamic/1600w/2024/3/vertical-2/06/5/322/414/065_1936838678.jpg,https://www.finn.no/realestate/homes/ad.html?finnkode=322414065,3249,5.0,52.0,"Balkong/Terrasse, Garasje/P-plass, Heis, Sentralt, Bredbåndstilknytning, Lademulighet, Barnevennlig",59.937769,False,Eier (Selveier),True
59.932678,10.790497,40.0,0.0,74320.0,Leilighet,5174320.0,Kort gangavstand til skole,5100000.0,2024-04-15 20:50:44,1715256090-9,10.790497,1,LILLE LØREN PARK - Ny og moderne 2-roms eierleilighet i 5.etasje med solrik balkong og flott utsikt. Overtagelse 20.06. Salg av kontrakt,4.0,False,5.0,C,127500.0,2024.0,2.0,https://www.finn.no/realestate/homes/search.html?facilities=1&lat=59.92555358328295&lifecycle=1&lon=10.748986445803979&min_bedrooms=1&ownership_type=3&price_collective_from=4500000&price_collective_to=6200000&property_type=3&radius=4000&sort=PUBLISHED_DESC&stored-id=65343065,12.0,,Mørkegrønn,True,"Sinsenveien 45C, 0585 Oslo",https://images.finncdn.no/dynamic/1600w/2024/4/vertical-2/10/7/323/448/277_06bac1f0-6765-4325-b03d-f9f5d9ea4c2d.png,https://www.finn.no/realestate/homes/ad.html?finnkode=323448277,2731,6.0,40.0,"Takterrasse, Balkong/Terrasse, Bredbåndstilknytning, Heis, Offentlig vann/kloakk, Parkett, Sentralt",59.932678,False,Eier (Selveier),False
59.917469,10.752605,,,123767.0,Leilighet,4552767.0,Nabolaget oppleves som veldig trygt,4399000.0,2024-03-11 22:12:58,1711399166-3,10.752605,1,Sentrum/ Fredensborg - Moderne 2- roms | Kjøkken fra 2022 | Sentralt | V.V og fyring inkl i fk | Balkong | Trappefri adk | God utleiemulighet,2.0,False,1.0,D,,2003.0,2.0,https://www.finn.no/realestate/homes/search.html?facilities=1&lat=59.92014001560054&lifecycle=1&lon=10.752502402231755&min_bedrooms=1&ownership_type=3&price_collective_from=3500000&price_collective_to=5500000&property_type=3&radius=4000&sort=PUBLISHED_DESC&stored-id=65343065,11.0,,Mørkegrønn,True,"Osterhaus' gate 16C, 0183 Oslo",https://images.finncdn.no/dynamic/1600w/2024/3/vertical-2/08/2/323/915/762_1670723318.jpg,https://www.finn.no/realestate/homes/ad.html?finnkode=323915762,2485,7.0,36.0,"Takterrasse, Balkong/Terrasse, Bredbåndstilknytning, Fellesvaskeri, Garasje/P-plass, Heis, Kjæledyr tillatt, Ingen gjenboere, Kabel-TV, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Lademulighet, Balansert ventilasjon",59.917469,False,Eier (Selveier),True
59.929577,10.793936,,,83645.0,Leilighet,4883645.0,Nabolaget oppleves som veldig trygt,4800000.0,2024-03-23 17:21:54,1711399172-6,10.793936,1,Gregers Kvartal C3-403 - Moderne 2-roms under oppføring i byggets 4.etasje! Balkong  på 8 kvm inn mot bakgård - God planløsning - OT 24.04.24,4.0,False,4.0,B,,2024.0,2.0,https://www.finn.no/realestate/homes/search.html?facilities=1&lat=59.92014001560054&lifecycle=1&lon=10.752502402231755&min_bedrooms=1&ownership_type=3&price_collective_from=3500000&price_collective_to=5500000&property_type=3&radius=4000&sort=PUBLISHED_DESC&stored-id=65343065,15.0,,Mørkegrønn,True,"Lørenvangen 2C, 0585 Oslo",https://images.finncdn.no/dynamic/1600w/2024/3/vertical-2/22/6/324/719/836_0fdd7cde-95fb-4794-95af-fb04faef8c4d.jpg,https://www.finn.no/realestate/homes/ad.html?finnkode=324719836,2173,7.0,42.0,"Balkong/Terrasse, Barnevennlig, Heis, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste, Turterreng",59.929577,False,Eier (Selveier),True
59.917681,10.80252,40.0,0.0,108490.0,Leilighet,4398490.0,Solforhold (sommer),4290000.0,2024-04-15 20:50:44,1713206873-42,10.80252,1,"Valle Hovin - Lys & moderne 2-R selveier fra 2018 | Sydvendt, solrik balkong | Lave felleskostnader | Heis | Nærhet til kollektiv!",3.0,False,4.0,A,107250.0,2018.0,2.0,https://www.finn.no/realestate/homes/search.html?facilities=1&lat=59.92555358328295&lifecycle=1&lon=10.748986445803979&min_bedrooms=1&ownership_type=3&price_collective_from=3500000&price_collective_to=5500000&property_type=3&radius=4000&sort=PUBLISHED_DESC&stored-id=65343065,24.0,5.0,Lysegrønn,True,"Innspurten 6A, 0663 Oslo",https://images.finncdn.no/dynamic/1600w/2024/4/vertical-2/10/8/330/378/908_163830dd-91b2-4b59-afca-a21a67820ad8.jpg,https://www.finn.no/realestate/homes/ad.html?finnkode=330378908,1614,10.0,45.0,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Heis, Kjæledyr tillatt, Kabel-TV, Offentlig vann/kloakk, Parkett, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Turterreng, Balansert ventilasjon",59.917681,False,Eier (Selveier),True
59.9235,10.775126,43.0,,140460.0,Leilighet,4637185.0,Nabolaget oppleves som veldig trygt,4100000.0,2024-03-11 22:12:58,1708872118-2,10.775126,1,"Sofienberg ved Ola Narr - Stor, gjennomgående 2-R selveier med solrik balkong i populære omgivelser! Separat kjøkken. Varmtvann og fyring inkl.",2.0,False,3.0,D,113953.0,1956.0,2.0,https://www.finn.no/realestate/homes/search.html?facilities=1&lat=59.93409994199391&lifecycle=1&lon=10.729864579166076&min_bedrooms=1&ownership_type=3&price_collective_from=3500000&price_collective_to=5500000&property_type=3&radius=3000&sort=PUBLISHED_DESC&stored-id=65343065,7.0,11.0,Mørkegrønn,False,"Finnmarkgata 48, 0563 Oslo",https://images.finncdn.no/dynamic/1600w/2024/1/vertical-2/08/1/335/367/061_357424146.jpg,https://www.finn.no/realestate/homes/ad.html?finnkode=335367061,6 601 kr,5.0,57.0,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Husdyr tillatt, Kabel-TV, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste",59.9235,False,Eier (Selveier),True
59.943317,10.763493,60.0,,144750.0,Leilighet,5498750.0,Nabolaget oppleves som veldig trygt,5130000.0,2024-03-11 22:12:58,1709021716-3,10.763493,2,"BJØLSEN - Attraktiv & moderne 3-roms med 11,5kvm vestvendt balkong & heis - Lave fellesutgifter - Akerselva som nabo -",4.0,False,3.0,D,85500.0,2005.0,2.0,https://www.finn.no/realestate/homes/search.html?facilities=1&lat=59.93409994199391&lifecycle=1&lon=10.729864579166076&min_bedrooms=1&ownership_type=3&price_collective_from=3500000&price_collective_to=5500000&property_type=3&radius=3000&sort=PUBLISHED_DESC&stored-id=65343065,11.0,4.0,Rød,True,"MARIDALSVEIEN 211A, 0469 Oslo",https://images.finncdn.no/dynamic/1600w/2024/1/vertical-2/08/4/335/379/674_1387621957.jpg,https://www.finn.no/realestate/homes/ad.html?finnkode=335379674,4 031 kr,10.0,57.0,"Balkong/Terrasse, Heis, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Bredbåndstilknytning",59.943317,False,Eier (Selveier),True
59.916924,10.790895,50.0,0.0,108115.0,Leilighet,4383115.0,Kort gangavstand til butikk,4275000.0,2024-03-23 17:21:54,1714927812-27,10.790895,1,Ensjø - Moderne 2-roms fra 2016|Markterrasse og balkong|Fjernvarme|Attraktiv beliggenhet på Ensjø|Nær T-bane,430.0,False,1.0,D,85500.0,2016.0,2.0,https://www.finn.no/realestate/homes/search.html?facilities=1&lat=59.92555358328295&lifecycle=1&lon=10.748986445803979&min_bedrooms=1&ownership_type=3&price_collective_from=3500000&price_collective_to=5500000&property_type=3&radius=4000&sort=PUBLISHED_DESC&stored-id=65343065,1721.0,6.0,Mørkegrønn,True,"Gladengveien 8D, 0661 Oslo",https://images.finncdn.no/dynamic/1600w/2024/4/vertical-2/26/4/335/739/694_02ff765a-1263-4e38-93a7-03324310bf6c.jpg,https://www.finn.no/realestate/homes/ad.html?finnkode=335739694,3977,2152.0,56.0,"Takterrasse, Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Heis, Kjæledyr tillatt, Kabel-TV, Offentlig vann/kloakk, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste, Turterreng, Balansert ventilasjon",59.916924,False,Eier (Selveier),True
59.932278,10.754746,48.0,,145794.0,Leilighet,5475794.0,Nabolaget oppleves som veldig trygt,5225000.0,2024-03-11 22:12:58,1710188105-12,10.754746,1,Iladalen - Nyoppusset og unik 2-roms med usjenert terrasse på ca. 48 kvm | Heis | Garasjeplass med el-lader | Skjermet beliggenhet!,4.0,False,,E,108854.0,1979.0,2.0,https://www.finn.no/realestate/homes/search.html?facilities=1&lat=59.93409994199391&lifecycle=1&lon=10.729864579166076&min_bedrooms=1&ownership_type=3&price_collective_from=3500000&price_collective_to=5500000&property_type=3&radius=3000&sort=PUBLISHED_DESC&stored-id=65343065,,7.0,Rød,True,"Vøyensvingen 19B, 0458 Oslo",https://images.finncdn.no/dynamic/1600w/2024/3/vertical-2/09/9/337/229/339_333464899.jpg,https://www.finn.no/realestate/homes/ad.html?finnkode=337229339,3394,9.0,48.0,"Balkong/Terrasse, Parkett, Heis, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Turterreng, Offentlig vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning, Lademulighet",59.932278,False,Eier (Selveier),True
59.916078,10.794717,43.0,0.0,123150.0,Leilighet,4613150.0,Kort gangavstand til butikk,4490000.0,2024-05-09 13:09:44,1715256263-84,10.794717,1,Ensjø - Lekker 2-roms fra des 2022 med solrik markterrasse på 17 kvm mot fine grøntområder - Lave fellesutgifter - Takterrasse,416.0,False,1.0,B,104419.0,2022.0,2.0,https://www.finn.no/realestate/homes/search.html?facilities=1&lat=59.92555358328295&lifecycle=1&lon=10.748986445803979&min_bedrooms=1&ownership_type=3&price_collective_from=4500000&price_collective_to=6200000&property_type=3&radius=4000&sort=PUBLISHED_DESC&stored-id=65343065,1750.0,3.0,Lysegrønn,True,"Grønvoll allé 68, 0661 Oslo",https://images.finncdn.no/dynamic/1600w/2024/5/vertical-2/07/5/337/361/735_d53b689f-21b8-40b4-b095-9e1430c9b4fc.jpg,https://www.finn.no/realestate/homes/ad.html?finnkode=337361735,1924,2206.0,46.0,"Balkong/Terrasse, Parkett, Heis, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Bredbåndstilknytning",59.916078,False,Eier (Selveier),False
